time,rsam,rsamF,mf,mfF,hf,hfF,dsar,dsarF
2016-03-27 00:00:00,82.66346204398745,81.93284599503853,105.70967342784152,105.3423532550163,103.10826456559121,103.63693283453952,2.127960070512907,2.1199227188198706
2016-03-27 00:10:00,87.27181921473627,83.30964445342806,106.87309545985732,106.57322943610951,104.0299992044309,102.65714325158434,2.135345970652429,2.159347452812459
2016-03-27 00:20:00,85.60739076577327,85.0839016774516,106.02369917040944,106.38207271025271,104.60797982713324,103.4610855186071,2.122236007295858,2.153688582610021
2016-03-27 00:30:00,86.34212485714163,86.09589893743109,104.7263467123882,104.83303745935655,103.6460031837899,104.05227348559987,2.0900703916158325,2.0872140012406493
2016-03-27 00:40:00,86.36160812348905,85.56457452502671,106.05654849110783,105.09810443784762,108.92137144144944,107.58697140692654,2.0191020508208215,2.028415481719968
2016-03-27 00:50:00,87.5267030364689,85.8803464476377,107.8107235120991,104.86737091988934,105.4325858726392,105.19021154950656,2.0849625217675363,2.035429499498747
2016-03-27 01:00:00,95.0416412445801,93.4672099100296,113.72656740823938,112.39463410535413,113.6003044445017,112.62154082928842,1.9999025879573669,1.9953328973945201
2016-03-27 01:10:00,90.87291835664512,90.06826595752798,110.12034251276347,110.19008351848949,110.6073482086976,108.7829391910823,2.0143076516018343,2.0382720654135276
2016-03-27 01:20:00,99.8069664613233,103.82473020267074,110.00485951143077,112.05017573369359,114.03059921428186,113.75612041561315,1.9362744276420063,1.9811270248771624
2016-03-27 01:30:00,100.50083886514334,99.86151701907116,112.8665863098046,111.53930537081008,113.38947084203018,113.50866819952488,1.9648876217242588,1.9554022815263215
2016-03-27 01:40:00,108.60199814254128,108.65929506533068,117.45535247836852,116.60751862919277,115.48266149637065,114.29075233410558,1.998845625676286,2.004288532675814
2016-03-27 01:50:00,102.74785739747026,101.76897401501684,116.02503297837274,114.52676421269126,112.46042862105412,111.11150813639517,2.0114566228198942,1.9990993164403859
2016-03-27 02:00:00,104.0182650346098,103.57007485689155,117.04531788353113,114.68745826524487,111.13312965647054,108.68552961013533,2.0476691111414853,2.047491368665303
2016-03-27 02:10:00,98.46992671640766,100.20861060558315,112.66755576436564,113.8826239241333,108.09075313973734,108.89187216366666,2.0172344628265315,2.0228507678103953
2016-03-27 02:20:00,105.44359823345401,106.87280889641107,118.14242026216782,118.56043314909711,110.02180535382513,111.32502994602217,2.055974615536585,2.039099391960426
2016-03-27 02:30:00,101.17541984567768,97.20169238173669,114.43546451368664,115.63888225746044,106.44356532599224,106.16900630491969,2.078217553722259,2.1026590579971027
2016-03-27 02:40:00,108.91074297636104,107.71198078554637,117.02682824818491,114.18700872665042,110.88029482549507,109.28571916907634,2.017182032780066,1.9973760940308376
2016-03-27 02:50:00,101.99048039486233,101.55462283129842,117.26723004280682,118.44695225515598,109.06068975816441,109.67105636114907,2.028794965159804,2.033546810422504
2016-03-27 03:00:00,102.76830099137814,100.02791568330605,117.08238879886176,115.8660912499167,111.43469700891858,110.05906246771866,1.9868586310562306,1.994844333091788
2016-03-27 03:10:00,106.31941041216002,104.76827369760437,118.02169919288052,117.8872175796414,112.69700678956934,112.78700720896343,1.948156977024751,1.9342199766737929
2016-03-27 03:20:00,104.36387391092052,101.26584882384734,119.01390435201313,118.46507638410056,111.82568545627149,111.95156009832118,2.0096251173897643,1.9980891684897182
2016-03-27 03:30:00,108.35689361145135,104.45062159530926,116.58922055330596,114.98962486906375,110.03921610723584,109.1236369713813,1.9889847555992242,1.9904831362058835
2016-03-27 03:40:00,97.18409518619903,96.71429252628539,115.18626648423346,114.99561416900278,111.00583989950917,110.84450221083742,1.938029506023523,1.9215081710195911
2016-03-27 03:50:00,99.71828124175529,100.13270892280313,116.72384636926205,117.95102296830598,114.58878774127167,114.93125393645361,1.8769095191007836,1.9004579840648357
2016-03-27 04:00:00,109.92433346129627,100.89760161403628,123.10044094429118,114.30283072830684,113.69705851692956,110.83298649701636,2.0303664171280276,1.9273467523177983
2016-03-27 04:10:00,109.42856664092412,100.59217801353644,124.2628578410161,113.01559270136497,117.61147206947501,111.71861378117259,1.9557556649086942,1.8877908225557352
2016-03-27 04:20:00,100.7173981510584,101.84614808464801,110.13049320501445,109.46324191957999,110.56217552707119,109.02216924131552,1.8525008025335434,1.8658558658232518
2016-03-27 04:30:00,102.00848043580783,101.81283217964543,114.37665969377092,113.88949611199055,113.36812956041541,112.50344399898087,1.8725084486523802,1.8859071677418902
2016-03-27 04:40:00,100.5740445292001,99.59692122975292,114.11708123733344,112.52060306733989,111.27491046235943,110.12523827984728,1.8867155443353565,1.8759764227524325
2016-03-27 04:50:00,110.23016550802075,100.63542997750311,126.244201972483,116.01477337649256,115.25902617159902,108.71956668845866,1.9918677493012664,1.9606399089727797
2016-03-27 05:00:00,99.15246069698544,99.43219391111298,113.7717816335719,115.06214656569523,108.02710893961705,107.83047844613654,1.934177345441001,1.964230224475156
2016-03-27 05:10:00,100.57699573001955,100.65379754105021,113.43760486893453,112.93326324551961,109.60755655065061,107.8456933856362,1.8760597133607975,1.8918802311233396
2016-03-27 05:20:00,97.51336712669821,97.0602286249165,110.39374426048923,110.15478538153296,107.70934325621316,108.62658799443432,1.8414419739851764,1.8245962840014596
2016-03-27 05:30:00,104.5672781665407,106.35695461714364,120.84261883170636,121.56668674533131,111.98485809485805,112.32757558466453,1.9662964429582634,1.9718410681170002
2016-03-27 05:40:00,103.93631350450136,101.68710490630762,117.72985099600619,118.75441500671775,114.7546809527185,115.2969215228516,1.8548466738461291,1.8598625857428632
