0.955,0.876,0.830,0.106,0.938,0.830
0.905,0.896,0.867,0.156,0.960,0.867
0.950,0.845,0.938,0.122,0.929,0.845
0.948,0.854,0.940,0.130,0.965,0.854
0.887,0.836,0.797,0.063,0.910,0.797
0.970,0.782,0.843,0.049,0.915,0.782
0.933,0.896,0.910,0.033,0.936,0.896
0.931,0.876,0.924,0.017,0.948,0.876
