time,feat
2007-08-27T01:00:00.000000000,0.002710346606188741
2007-08-27T01:10:00.000000000,0.002103643238932579
2007-08-27T01:20:00.000000000,0.002103643238932579
2007-08-27T01:30:00.000000000,0.002103643238932579
2007-08-27T01:40:00.000000000,0.003240438938116844
2007-08-27T01:50:00.000000000,0.003493434088685675
2007-08-27T02:00:00.000000000,0.0033936721090993428
2007-08-27T02:10:00.000000000,0.0033936721090993428
2007-08-27T02:20:00.000000000,0.0041450673536123145
2007-08-27T02:30:00.000000000,0.005501945321196821
2007-08-27T02:40:00.000000000,0.00565436117906466
2007-08-27T02:50:00.000000000,0.006601979558719331
2007-08-27T03:00:00.000000000,0.009659987857686209
2007-08-27T03:10:00.000000000,0.010123627716017608
2007-08-27T03:20:00.000000000,0.008952696395815606
2007-08-27T03:30:00.000000000,0.008952696395815606
2007-08-27T03:40:00.000000000,0.011263085205467505
2007-08-27T03:50:00.000000000,0.011263085205467505
2007-08-27T04:00:00.000000000,0.011559314571086271
2007-08-27T04:10:00.000000000,0.011559314571086271
2007-08-27T04:20:00.000000000,0.011559314571086271
2007-08-27T04:30:00.000000000,0.011559314571086271
2007-08-27T04:40:00.000000000,0.011559314571086271
2007-08-27T04:50:00.000000000,0.012146727485494184
2007-08-27T05:00:00.000000000,0.012146727485494184
2007-08-27T05:10:00.000000000,0.012149595735869049
2007-08-27T05:20:00.000000000,0.011822959141657086
2007-08-27T05:30:00.000000000,0.011822959141657086
2007-08-27T05:40:00.000000000,0.011822959141657086
2007-08-27T05:50:00.000000000,0.011822959141657086
2007-08-27T06:00:00.000000000,0.011822959141657086
2007-08-27T06:10:00.000000000,0.011822959141657086
2007-08-27T06:20:00.000000000,0.011822959141657086
2007-08-27T06:30:00.000000000,0.011822959141657086
2007-08-27T06:40:00.000000000,0.011822959141657086
2007-08-27T06:50:00.000000000,0.011513425246655691
2007-08-27T07:00:00.000000000,0.01058180328494919
2007-08-27T07:10:00.000000000,0.017336886383212013
2007-08-27T07:20:00.000000000,0.017023385696010238
2007-08-27T07:30:00.000000000,0.01723119058904116
2007-08-27T07:40:00.000000000,0.01787235076862588
2007-08-27T07:50:00.000000000,0.018355231916609826
2007-08-27T08:00:00.000000000,0.01917700550346097
2007-08-27T08:10:00.000000000,0.019677037196476024
2007-08-27T08:20:00.000000000,0.019677037196476024
2007-08-27T08:30:00.000000000,0.019677037196476024
2007-08-27T08:40:00.000000000,0.019677037196476024
2007-08-27T08:50:00.000000000,0.01950131101669105
2007-08-27T09:00:00.000000000,0.019230506174268396
2007-08-27T09:10:00.000000000,0.018737841120755126
2007-08-27T09:20:00.000000000,0.017896524088072567
2007-08-27T09:30:00.000000000,0.03653002816324108
2007-08-27T09:40:00.000000000,0.07219435849164434
2007-08-27T09:50:00.000000000,0.07795032619113383
2007-08-27T10:00:00.000000000,0.07795032619113383
2007-08-27T10:10:00.000000000,0.07790370277028151
2007-08-27T10:20:00.000000000,0.07790370277028151
2007-08-27T10:30:00.000000000,0.056805673139027714
2007-08-27T10:40:00.000000000,0.056433727549882226
2007-08-27T10:50:00.000000000,0.056433727549882226
2007-08-27T11:00:00.000000000,0.056433727549882226
2007-08-27T11:10:00.000000000,0.056433727549882226
2007-08-27T11:20:00.000000000,0.056433727549882226
2007-08-27T11:30:00.000000000,0.056433727549882226
2007-08-27T11:40:00.000000000,0.056433727549882226
2007-08-27T11:50:00.000000000,0.056433727549882226
2007-08-27T12:00:00.000000000,0.056433727549882226
2007-08-27T12:10:00.000000000,0.05509032280980063
2007-08-27T12:20:00.000000000,0.05711551581024268
2007-08-27T12:30:00.000000000,0.0547145473923648
2007-08-27T12:40:00.000000000,0.053401250383206665
2007-08-27T12:50:00.000000000,0.060891963568444576
2007-08-27T13:00:00.000000000,0.06091621116015111
2007-08-27T13:10:00.000000000,0.06091621116015111
2007-08-27T13:20:00.000000000,0.08512709700788969
2007-08-27T13:30:00.000000000,0.08342337462822515
2007-08-27T13:40:00.000000000,0.08706619121594847
2007-08-27T13:50:00.000000000,0.08331761323916312
2007-08-27T14:00:00.000000000,0.09609481749219638
2007-08-27T14:10:00.000000000,0.08280293330589912
2007-08-27T14:20:00.000000000,0.10529771124763912
2007-08-27T14:30:00.000000000,0.10763080876875808
2007-08-27T14:40:00.000000000,0.08834148616127785
2007-08-27T14:50:00.000000000,0.08834148616127785
2007-08-27T15:00:00.000000000,0.13302185982749634
2007-08-27T15:10:00.000000000,0.13302185982749634
2007-08-27T15:20:00.000000000,0.07322449317498295
2007-08-27T15:30:00.000000000,0.07322449317498295
